id,name,total_ratings,stars,genres,imdb_link,tmdb_link,description,release_year,label,duration,languages,directors,cast,img_link
1,Toy Story,78340,3.89,"['Animation', 'Adventure', 'Family', 'Comedy']",https://www.imdb.com/title/tt0114709,https://www.themoviedb.org/movie/862,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.",1995,G,81 minutes,['English'],['John Lasseter'],"['Tom Hanks', 'Tim Allen', 'Don Rickles', 'Jim Varney', 'Wallace Shawn', 'John Ratzenberger', 'Annie Potts', 'John Morris', 'Erik von Detten', 'Laurie Metcalf', 'R. Lee Ermey', 'Sarah Freeman', 'Penn Jillette', 'Jack Angel', 'Spencer Aste', 'Greg Berg', 'Lisa Bradley', 'Kendall Cunningham', 'Debi Derryberry', 'Cody Dorkin', 'Bill Farmer', 'Craig Good', 'Gregory Grudt', 'Danielle Judovits', 'Sam Lasseter', 'Brittany Levenbrown', 'Sherry Lynn', 'Scott McAfee', 'Mickie McGowan', ""Ryan O'Donohue"", 'Jeff Pidgeon', 'Patrick Pinney', 'Phil Proctor', 'Jan Rabson', 'Joe Ranft', 'Andrew Stanton', 'Shane Sweet', 'John Lasseter', 'Jonathan Benair', 'Anthony Burch', 'Tracy Fraim']",https://image.tmdb.org/t/p/original/lxD5ak7BOoinRNehOCA85CQ8ubr.jpg
2,Jumanji,30833,3.28,"['Adventure', 'Fantasy', 'Family']",https://www.imdb.com/title/tt0113497,https://www.themoviedb.org/movie/8844,"When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world, they unwittingly invite Alan -- an adult who's been trapped inside the game for 26 years -- into their living room. Alan's only hope for freedom is to finish the game, which proves risky as all three find themselves running from giant rhinoceroses, evil monkeys and other terrifying creatures.",1995,PG,104 minutes,"['English', 'Français']",['Joe Johnston'],"['Robin Williams', 'Kirsten Dunst', 'Bradley Pierce', 'Bonnie Hunt', 'Jonathan Hyde', 'Bebe Neuwirth', 'David Alan Grier', 'Adam Hann-Byrd', 'Patricia Clarkson', 'Laura Bell Bundy', 'James Handy', 'Gillian Barber', 'Brandon Obray', 'Cyrus Thiedeke', 'Gary Joseph Thorup', 'Leonard Zola', 'Lloyd Berry', 'Malcolm Stewart', 'Annabel Kershaw', 'Darryl Henriques', 'Robyn Driscoll', 'Peter Bryant', 'Sarah Gilson', 'Florica Vlad', 'June Lion', 'Brenda Lockmuller', 'Frederick Richardson', 'Jaysen Clough', 'Daniel Olsen', 'Falko Schilling', 'David Szehi', 'Tom Woodruff Jr.']",https://image.tmdb.org/t/p/original/i7jKGJZjGmLZFt48xLtwSgn9Cdw.jpg
3,Grumpier Old Men,15871,3.17,"['Romance', 'Comedy']",https://www.imdb.com/title/tt0113228,https://www.themoviedb.org/movie/15602,"A family wedding reignites the ancient feud between next-door neighbors and fishing buddies John and Max. Meanwhile, a sultry Italian divorcée opens a restaurant at the local bait shop, alarming the locals who worry she'll scare the fish away. But she's less interested in seafood than she is in cooking up a hot time with Max.",1995,PG-13,101 minutes,['English'],['Howard Deutch'],"['Walter Matthau', 'Jack Lemmon', 'Ann-Margret', 'Sophia Loren', 'Daryl Hannah', 'Burgess Meredith', 'Kevin Pollak', 'Michelle Johnston']",https://image.tmdb.org/t/p/original/1J4Z7VhdAgtdd97nCxY7dcBpjGT.jpg
4,Waiting to Exhale,3041,2.86,"['Comedy', 'Drama', 'Romance']",https://www.imdb.com/title/tt0114885,https://www.themoviedb.org/movie/31357,"Cheated on, mistreated and stepped on, the women are holding their breath, waiting for the elusive ""good man"" to break a string of less-than-stellar lovers. Friends and confidants Vannah, Bernie, Glo and Robin talk it all out, determined to find a better way to breathe.",1995,R,127 minutes,['English'],['Forest Whitaker'],"['Whitney Houston', 'Angela Bassett', 'Loretta Devine', 'Lela Rochon', 'Gregory Hines', 'Dennis Haysbert', 'Mykelti Williamson', 'Michael Beach', 'Leon', 'Wendell Pierce', 'Donald Faison', 'Jeffrey D. Sams', 'Jazz Raycole', 'Brandon Hammond', 'Kenya Moore', 'Lamont Johnson', 'Wren T. Brown', 'Theo', 'Ken Love', 'Graham Galloway', 'Starletta DuPois', 'Shari L. Carpenter', 'Thomas R. Leander', 'Cordell Conway', 'Lee Wells Jr.', 'Hope Brown', 'Delaina Mitchell', 'Luis Sharpe', 'Joseph S. Myers', 'Ezra Swerdlow', 'Ellin La Var', 'Patricia Anne Fox', 'Wally Bujack', 'Brenda Baldwin-Davis', 'William Bolander', 'L. Scott Caldwell', 'Kacee DeMasi', 'Giancarlo Esposito', 'Wanda-Lee Evans', 'Tom Hedrick', 'Donyell Hinton', 'Bob Huff', 'Angela Kenzslowe', 'Kelly Preston', 'Jose Rosete', 'Juliet Rose Serrato', 'Wesley Snipes']",https://image.tmdb.org/t/p/original/jZjoEKXMTDoZAGdkjhAdJaKtXSN.jpg
5,Father of the Bride Part II,15876,3.08,"['Comedy', 'Family']",https://www.imdb.com/title/tt0113041,https://www.themoviedb.org/movie/11862,"Just when George Banks has recovered from his daughter's wedding, he receives the news that she's pregnant ... and that George's wife is expecting too. He was planning on selling their home, but that's a plan that—like George—will have to change with the arrival of both a grandchild and a kid of his own.",1995,PG,106 minutes,['English'],['Charles Shyer'],"['Steve Martin', 'Diane Keaton', 'Martin Short', 'Kimberly Williams-Paisley', 'George Newbern', 'Kieran Culkin', 'BD Wong', 'Peter Michael Goetz', 'Kate McGregor-Stewart', 'Jane Adams', 'Eugene Levy', 'Rebecca Chambers', 'April Ortiz', 'Dulcy Rogers', 'Kathy Anthony', 'Adrian Canzoneri', 'Lori Alan', 'Stephanie Miller', 'Hallie Meyers-Shyer', 'Jay Wolpert', 'Ann Walker', 'Sandra Silvestri', 'William Akey', 'Jonathan Emerson', 'Seth Kaplan', 'Joshua Duvall Preston', 'K.C. Colwell', 'Chase Colwell', 'Tony Simotes', 'Annie Meyers-Shyer', 'Linda DeScenna', 'Heidi Averill', 'Chelsea Lynn', 'Chelsea Lynn', 'Sue Colwell', 'Rodrigo Botero', 'Vince Lozano', 'Caroline Lagerfelt', 'Ilene Waterstone', 'Wendy Worthington', 'Dorian Spencer', 'Harris Laskawy', 'Roxanne Beckford', 'Valerie Hemmerich', 'Peter Spears', 'Susan Beaubian', 'Mychael Bates', 'Jerri Rose White', 'Shannon Kennedy', 'Casey Boersma', 'Katie Pierce', 'Dylan Boersma', 'Jonathan Selstad', 'Thomas Selstad', 'Christian Boeving', 'Nora Dunn', 'David Novak', 'Kylie Travis']",https://image.tmdb.org/t/p/original/lEsjVrGU21BeJjF5AF9EWsihDpw.jpg
6,Heat,32541,3.86,"['Action', 'Crime', 'Drama']",https://www.imdb.com/title/tt0113277,https://www.themoviedb.org/movie/949,Obsessive master thief Neil McCauley leads a top-notch crew on various daring heists throughout Los Angeles while determined detective Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.,1995,R,170 minutes,"['English', 'Español']",['Michael Mann'],"['Robert De Niro', 'Al Pacino', 'Val Kilmer', 'Jon Voight', 'Tom Sizemore', 'Diane Venora', 'Amy Brenneman', 'Ashley Judd', 'Mykelti Williamson', 'Wes Studi', 'Ted Levine', 'Dennis Haysbert', 'William Fichtner', 'Natalie Portman', 'Tom Noonan', 'Kevin Gage', 'Hank Azaria', 'Susan Traylor', 'Kim Staunton', 'Danny Trejo', 'Henry Rollins', 'Jerry Trimble', 'Martin Ferrero', 'Ricky Harris', 'Tone Loc', 'Begonya Plaza', 'Hazelle Goodman', 'Ray Buktenica', 'Jeremy Piven', 'Xander Berkeley', 'Rick Avery', 'Brad Baldridge', 'Andrew Camuccio', 'Brian Camuccio', 'Max Daniels', 'Vince Deadrick Jr.', 'Charles Duke', 'Thomas Elfmont', 'Kenny Endoso', 'Kimberly Flynn', 'Steven Ford', 'Farrah Forke', 'Hannes Fritsch', 'Amanda Graves', 'Emily Graves', 'Niki Haris', 'Ted Harvey', 'Patricia Healy', 'Paul Herman', 'Cindy Katz', 'Brian Libby', 'Bill McIntosh', 'Dan Martin', 'Rick Marzan', 'Terry Miller', 'Paul Moyer', ""Daniel O'Haco"", 'Mario Roberts', 'Phillip Robinson', 'Thomas Rosales Jr.', 'Rainell Saunders', 'Kai Soremekun', 'Rey Verdugo', 'Wendy L. Walsh', 'Yvonne Zima', 'Monica Lee Bellais', 'Peter Blackwell', 'Trevor Coppola', 'Bud Cort', 'Annette Goodman', 'Mick Gould', 'Mary Kircher', 'David Koseruba', 'Melissa S. Markess', 'Andre McCoy', 'Darren Melton', 'Robert Miranda', 'Kathryn Mullen', 'Manny Perry', 'Jimmy N. Roberts', 'Iva Franks-Singer', 'Gloria Koehn Straube', 'Viviane Vives', 'Tim Werner', 'Jimmy Star']",https://image.tmdb.org/t/p/original/xKsnZDERG1dk95wuZ5q9iks3OL3.jpg
7,Sabrina,15654,3.37,"['Comedy', 'Romance']",https://www.imdb.com/title/tt0114319,https://www.themoviedb.org/movie/11860,"An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it.",1995,PG,127 minutes,"['English', 'Français']",['Sydney Pollack'],"['Harrison Ford', 'Julia Ormond', 'Greg Kinnear', 'Nancy Marchand', 'John Wood', 'Richard Crenna', 'Angie Dickinson', 'Lauren Holly', 'Dana Ivey', 'Miriam Colon', 'Elizabeth Franz', 'Fanny Ardant', 'Valérie Lemercier', 'Patrick Bruel', 'Becky Ann Baker', 'Paul Giamatti', 'John C. Vennema', 'Gregory Chase', 'Margo Martindale', 'J. Smith-Cameron', 'Christine Luneau-Lipton', 'Michael Dees', 'Denis Holmes', 'Jo-Jo Lowe', 'Ira Wheeler', 'Philippa Cooper', 'Ayako Kawahara', 'François Genty', 'Guillaume Gallienne', 'Inés Sastre', 'Phina Oruche', 'Helena', 'Katia', 'Andrea Behalikova', 'Jennifer Herrera', 'Kristina Kumlin', 'Eva Linderholm', 'Carmen Chaplin', 'Micheline Van de Velde', 'Joanna Rhodes', 'Alan Boone', 'Patrick Forster-Delmas', 'Kentaro', 'J.B. Benn', 'Peter McKernan', 'Ed Connelly', 'Ronald L. Schwary', 'Kenneth A. MacDonald', 'Alvin Lum', 'Siching Song', 'Phil Nee', 'Randy Becker', 'Susan Browning', 'Anthony Mondal', 'Peter Parks', 'Doug Ferony', 'Dale Resteghini', 'Michael Cline', 'Woodrow Asai', 'Philippe Hartmann', 'Jerry Quinn', 'Victor Warren', 'Dori Rosenthal', 'Eric Bruno Borgman']",https://image.tmdb.org/t/p/original/oMGV48EGhsNavC1PL8HMeWs5Udq.jpg
8,Tom and Huck,1595,3.11,"['Family', 'Action', 'Adventure', 'Drama']",https://www.imdb.com/title/tt0112302,https://www.themoviedb.org/movie/45325,"A mischievous young boy, Tom Sawyer, witnesses a murder by the deadly Injun Joe. Tom becomes friends with Huckleberry Finn, a boy with no future and no family. Tom has to choose between honoring a friendship or honoring an oath because the town alcoholic is accused of the murder. Tom and Huck go through several adventures trying to retrieve evidence.",1995,PG,97 minutes,['English'],['Peter Hewitt'],"['Jonathan Taylor Thomas', 'Brad Renfro', 'Eric Schweig', 'Charles Rocket', 'Amy Wright', 'Michael McShane', 'Marian Seldes', 'Rachael Leigh Cook', 'Lanny Flaherty', 'Courtland Mead', 'Peter MacKenzie', 'Heath Lamberts', 'William Newman', 'Joey Stinson', 'Blake Heron', 'Jim Aycock', 'Andy Stahl', 'Adrian Roberts', 'Tiffany Lynn Clark', 'Kellen Hathaway', 'Mark Cabus', 'Bronwen Murray', 'Paul Kropfl', 'Tamara Mello', 'Ike Eisenmann']",https://image.tmdb.org/t/p/original/jP8lHNHD89xaRPfAdyz5KEVYcSb.jpg
9,Sudden Death,4601,3,"['Action', 'Drama']",https://www.imdb.com/title/tt0114576,https://www.themoviedb.org/movie/9091,When a man's daughter is suddenly taken during a championship hockey game – with the captors demanding a billion dollars by game's end – he frantically sets a plan in motion to rescue her and abort an impending explosion before the final buzzer.,1995,R,110 minutes,['English'],['Peter Hyams'],"['Jean-Claude Van Damme', 'Powers Boothe', 'Raymond J. Barry', 'Whittni Wright', 'Ross Malinger', 'Dorian Harewood', 'Kate McNeil', 'Michael Gaston', 'Audra Lindley', 'Brian Delate', 'Steve Aronson', 'Michael R. Aubele', 'Karen Elise Baldwin', 'Jennifer D. Bowser', 'Pat Brisson', 'Glenda Morgan Brown', 'Jophery C. Brown', 'William Cameron', 'Bernard Canepari', 'Jay Caufield', 'Alan Clement', 'Bill Clement', 'Bill Dalzell', 'Gilbert B. Combs', 'Jack Erdie', 'Ed Evanko', 'David Flick', 'Glenn Alan Gardner', 'John Hall', 'Jeff Habberstad', 'Mark Hager', 'John Hateley', ""Rosine 'Ace' Hatem"", 'Jeff Hochendoner', 'Jeff Howell', 'Brian Hutchison', 'Jeff Jimerson', 'Mark Kachowski', 'Callum Keith-King', 'Rick LeFevour', 'Tommy Lafitte', 'Raymond Laine', 'Mike Lange', 'Butch Luick', 'Fred Mancuso', 'Anthony Marino', 'Larry John Meyers', 'Ken Milchick', 'Faith Minton', 'Paul Mochnick', 'Brad Moniz', 'Jean-Pierre Nutini', 'Daniel R. Pagath', 'Manny Perry', 'Allan Pinsker', 'Douglas Rees', 'Diane Robin', 'Luc Robitaille', 'Thomas Saccio', 'Vinnie Sciullo', 'Jack Skelly', 'Brian Smrz', 'Phil Spano', 'Paul Steigerwald', 'John Sterling', 'Harold Surratt', 'Rohn Thomas', 'Milton E. Thompson Jr.', 'Dixie Tymitz', 'Fred Waugh', 'Rema Webb', 'Dean E. Wells', 'Jake Teague']",https://image.tmdb.org/t/p/original/3QBW1kwihXnqhuxtVlQRHuPeYvf.jpg
10,GoldenEye,35296,3.43,"['Adventure', 'Action', 'Thriller']",https://www.imdb.com/title/tt0113189,https://www.themoviedb.org/movie/710,"When a powerful satellite system falls into the hands of Alec Trevelyan, AKA Agent 006, a former ally-turned-enemy, only James Bond can save the world from a dangerous space weapon that -- in one short pulse -- could destroy the earth! As Bond squares off against his former compatriot, he also battles Xenia Onatopp, an assassin who uses pleasure as her ultimate weapon",1995,PG-13,130 minutes,"['English', 'Pусский', 'Español']",['Martin Campbell'],"['Pierce Brosnan', 'Sean Bean', 'Izabella Scorupco', 'Famke Janssen', 'Joe Don Baker', 'Judi Dench', 'Robbie Coltrane', 'Tchéky Karyo', 'Gottfried John', 'Alan Cumming', 'Desmond Llewelyn', 'Samantha Bond', 'Michael Kitchen', 'Serena Gordon', 'Simon Kunz', 'Pavel Douglas', 'Olivier Lajous', 'Billy J. Mitchell', 'Constantine Gregory', 'Minnie Driver', 'Michelle Arthur', 'Ravil Isyanov', 'Vladimir Milanovich', 'Trevor Byfield', 'Peter Majer', 'Kate Gayson', 'Simone Bechtel']",https://image.tmdb.org/t/p/original/8o9FsYGpQgRrpASU38L4gcgxchw.jpg
